Well_Name,depth_m,Facies,Porosity,reflection_strength,instantaneous_phase,instantaneous_frequency,instantaneous_amplitude,rms_attribute,discontinuity,sweetness,thin_bed_indicator,relative_amp_change_x,relative_amp_change_y
A10,1463.5059999999999,NA,NA,2438.0347,-89.703735,0.013858021,-1544.5992,1994.2327,27.509535,19521.846,0.0040866053,0.25906205,0.10907177
A10,1467.797,NA,NA,2449.6013,-119.72498,0.006354992,-1366.0784,1961.1012,24.23137,19672.613,-0.0042357547,0.18446581,0.24453814
A10,1472.088,NA,NA,2491.9683,-84.19376,0.006774665,-1391.5814,1890.349,19.696623,20116.078,-0.0051400997,0.20381792,0.33549467
A10,1476.379,NA,NA,2908.5203,-99.44282,0.019829083,-1442.5873,1801.3732,13.539611,23051.396,0.006138914,0.2712104,0.1545702
A10,1480.6699999999998,NA,NA,3457.2417,-68.811646,0.018198727,-1111.049,1930.3953,8.099238,26798.254,0.0023515562,0.3339371,0.1962235
A10,1484.961,NA,NA,4400.6924,-92.12755,0.019048063,138.59627,2582.0298,5.9666624,33334.508,0.0010421438,0.31931812,-0.027031524
A10,1489.252,NA,NA,5429.583,-62.70287,0.020158406,2612.3833,3592.0374,5.724688,40345.676,0.00050785684,0.2696383,-0.075090446
A10,1493.543,NA,NA,6401.481,-31.562967,0.021271642,5468.715,4527.2275,5.3734145,46872.95,0.0005780614,0.2322327,-0.061472792
A10,1497.8339999999998,NA,NA,7130.524,1.296616,0.022063252,7075.402,5097.9653,4.2100344,51287.5,0.0005280887,0.19718586,-0.021825178
A10,1502.125,0.0,0.25616681599999785,7582.221,35.379044,0.023073213,6157.2954,5251.613,3.480387,53400.75,0.0007203808,0.17075102,0.012997695
A10,1506.416,0.0,0.2609610379999993,7669.165,71.02163,0.023378033,2612.3833,5121.504,3.4301293,53168.66,0.0003185486,0.14148548,0.034744263
A10,1510.7069999999999,0.0,0.260776060000001,7406.368,107.13507,0.023919467,-1927.1436,4903.0474,4.067,50763.715,0.00027142334,0.10657883,0.046997275
A10,1514.9979999999998,0.0,0.28577514200000087,7005.98,144.08492,0.024662292,-5421.05,4738.222,5.186625,47538.73,0.00054993725,0.07391433,0.050585408
A10,1519.289,0.0,0.2369031199999978,6478.4697,27.896519,0.02473289,-6313.653,4646.6597,5.871376,43900.02,0.00031904565,0.031721387,0.045861788
A10,1523.58,2.0,0.2601304460000004,5988.378,-139.61137,0.024961224,-4451.937,4546.946,6.3429713,40725.742,0.0004535432,-0.021663666,0.045435566
A10,1527.8709999999999,2.0,0.24408191599999934,5666.7837,-101.0523,0.024602806,-983.53406,4380.6255,7.376197,38573.418,0.00023644917,-0.08478117,0.043850422
A10,1532.1619999999998,2.0,0.24897865200000152,5479.2095,-63.04685,0.023700774,2535.8745,4194.231,8.558342,37428.6,-0.00028541798,-0.15327814,0.033320494
A10,1536.453,2.0,0.2657482160000012,5468.925,-26.434849,0.023336377,4805.6377,4078.6116,9.121356,38005.69,-6.669831e-05,-0.21107523,0.01688535
A10,1540.744,0.0,0.25663984999999967,5524.0425,9.614251,0.022431059,5213.686,4025.1294,10.89131,39314.934,-0.00027983342,-0.25964984,-0.009967395
A10,1545.0349999999999,0.0,0.247277472,5494.927,44.264854,0.021334546,3734.514,3900.304,14.173548,39780.633,-0.00043747335,-0.30045065,-0.045504026
A10,1549.326,0.0,0.2585407619999997,5380.9155,77.22161,0.020500716,1209.7207,3641.6555,14.938019,39477.805,7.850743e-05,-0.332268,-0.0919748
A10,1553.617,0.0,0.2701862480000019,5160.836,108.8903,0.021196743,-1442.5873,3355.7239,13.791455,38322.227,0.0023858454,-0.38596803,-0.15262665
A10,1557.908,0.0,0.2716774120000001,4765.0522,90.205605,0.010444755,-3329.8064,3182.172,14.185776,35812.406,-0.0067961914,-0.5048063,-0.24311502
A10,1562.1989999999998,0.0,0.23634765999999824,4334.2256,132.05452,0.01603121,-3763.3567,3166.9636,19.737082,32680.357,5.6575453e-05,-0.62038755,-0.29540086
A10,1566.49,2.0,0.27587834000000727,4029.3074,2.5331845,0.014985108,-2896.256,3226.711,28.005053,30182.234,0.00031764418,-0.6126458,-0.24535619
A10,1570.781,2.0,0.259462512000001,3699.7417,-25.746988,0.015965298,-1825.1318,3221.5923,30.957907,27552.611,0.0030161038,-0.34878606,-0.097164735
A10,1575.072,2.0,0.252992116,3414.4724,-1.0844345,0.012902481,-1442.5873,3060.9785,29.990765,25383.033,0.0017522962,-0.13647018,0.13106203
A10,1579.3629999999998,1.0,0.23389360800000158,3031.5544,18.846802,-0.0031811267,-1799.6289,2750.6968,30.503017,22530.562,-0.013014694,0.03779163,0.33320168
A10,1583.654,1.0,0.24211000000000082,3044.4495,-140.353,0.009174915,-2360.6938,2411.3477,32.691795,22727.791,-0.00048205655,0.08642145,0.3055609
A10,1587.945,2.0,0.2661934799999993,3419.1875,-126.17995,0.0144400885,-2131.1675,2260.916,32.536285,25738.625,0.0035410358,0.14580263,0.1331443
A10,1592.2359999999999,2.0,0.24605896600000046,3694.9204,-103.87348,0.016538084,-1009.037,2260.0881,29.669104,27729.557,0.0034347768,0.11302761,0.05044106
A10,1596.527,1.0,0.2212501560000048,3861.7449,-78.3261,0.016702784,597.64954,2241.5906,28.95134,28704.957,0.0012700524,0.032499075,0.047989674
A10,1600.818,1.0,0.24674939000000096,3878.7188,-52.52432,0.017313778,1949.3064,2292.8323,30.057003,28485.111,0.00017466435,-0.028008971,0.07991876
A10,1605.109,1.0,0.24188275999999984,3857.967,-25.778685,0.018498968,2637.8865,2524.7678,30.553358,28119.947,0.00015724218,-0.053715806,0.14269546
A10,1609.3999999999999,2.0,0.24936301199999944,3741.3474,2.7977803,0.019929424,2714.3953,2792.943,31.062567,27084.326,0.0003953199,-0.06393279,0.22103436
A10,1613.6909999999998,2.0,0.23593530399999785,3591.2495,33.583958,0.022085126,2510.3716,2901.5488,31.932953,25624.299,0.0012877157,-0.056714196,0.3141737
A10,1617.982,2.0,0.2290318720000002,3411.4192,16.271605,0.022939408,2204.3362,2802.8552,31.079573,23995.525,0.0008853468,0.04923037,0.3981703
A10,1622.273,2.0,0.2399704560000002,3325.394,0.27891323,0.023687143,1770.7858,2594.7456,29.049292,23105.65,0.0004377256,0.18477957,0.40427643
A10,1626.5639999999999,1.0,0.24141665000000184,3410.3481,36.86987,0.024512814,954.6909,2408.6753,27.792236,23324.88,0.00013476048,0.20557949,0.3549378
A10,1630.855,1.0,0.25279120000000194,3525.9358,74.73628,0.026220491,-320.45706,2328.353,30.022718,23746.973,0.00079401827,0.042453017,0.4074263
A10,1635.146,1.0,0.2499842800000015,3555.6055,115.240654,0.02753805,-1748.6228,2357.5603,32.890266,23704.764,0.0011888506,-0.038122006,0.39624113
A10,1639.437,3.0,0.271674784,3485.8242,-47.933956,0.027786199,-2513.7117,2444.4275,31.53714,23042.621,0.00074676843,-0.06454635,0.3603035
A10,1643.7279999999998,1.0,0.23116612400000064,3475.1836,-56.439514,0.027822854,-2233.179,2547.0503,28.569118,22842.314,0.000442008,-0.068901435,0.33690253
A10,1648.019,1.0,0.2511168000000005,3576.7566,-64.88845,0.027727706,-805.0133,2639.9714,28.520702,23488.877,0.00037359263,-0.046022315,0.2993146
A10,1652.31,1.0,0.23644137800000062,3698.1926,-73.48437,0.026787253,1158.7146,2705.1292,30.23465,24304.896,-0.0002458299,-0.014601299,0.24149182
A10,1656.6009999999999,1.0,0.22906800800000005,3836.9023,-32.104492,0.026186803,2637.8865,2731.9622,29.375973,25433.225,-0.00029944544,0.017837422,0.18333772
A10,1660.8919999999998,3.0,0.2562982859999973,3996.4944,8.347835,0.02584157,2765.4011,2721.423,27.737871,26783.629,0.00012527211,0.06508116,0.11291967
A10,1665.183,3.0,0.2724687879999984,4067.898,48.266853,0.024718013,1388.2413,2688.515,28.880728,27263.889,-2.2787917e-05,0.11734132,0.051917825
A10,1669.474,1.0,0.2683035300000014,3977.4026,86.45025,0.022871718,-805.01324,2655.3303,31.366446,26602.738,-0.0008116332,0.14764473,0.004484892
A10,1673.7649999999999,1.0,0.25676703200000095,3750.5508,121.78156,0.021147076,-2437.203,2631.3865,31.018528,25057.182,-0.0016037599,0.17762825,-0.03008025
A10,1678.056,1.0,0.25327526600000194,3456.1309,-51.265564,0.020994157,-2768.741,2586.791,29.818817,23205.98,-0.0011010392,0.17192347,0.014141457
A10,1682.347,1.0,0.23544103199999689,3098.7102,-70.2632,0.02181028,-1850.6348,2455.5798,35.316174,20993.264,0.00030748986,0.12616971,0.0049875462
A10,1686.638,0.0,0.2428220239999999,2635.4731,-88.00013,0.02266501,-396.96597,2179.9106,44.38664,18018.629,0.0021830595,0.038323846,-0.04315179
A10,1690.9289999999999,0.0,0.28154320000000216,2077.8018,-52.988125,0.020909606,699.6613,1791.7092,44.27389,14362.502,0.0019888035,-0.09926081,-0.056282453
A10,1695.2199999999998,3.0,0.24909776199999942,1470.9883,-20.687803,0.012044318,725.16437,1443.7211,41.95233,10279.006,-0.005206647,-0.3217504,-0.029637542
A10,1699.511,0.0,0.23884374799999913,1286.4492,23.632063,0.010407061,-90.930405,1313.126,44.621223,8971.8955,-0.005676459,-0.12129324,-0.065425634
A10,1703.802,0.0,0.2518935499999999,1672.7052,39.70847,0.017473465,-1187.5577,1414.6028,45.661816,11583.109,0.0016397906,0.0755211,-0.31604126
A10,1708.0929999999998,0.0,0.24931261600000018,2371.989,-139.0135,0.018619781,-1774.1257,1616.3201,34.528484,16706.225,0.0021704924,0.2598553,-0.4078727
A10,1712.384,1.0,0.24580062000000485,3120.1133,-110.250404,0.018849295,-1366.0784,1924.276,23.54735,22345.889,0.001422607,0.2124895,-0.32814687
A10,1716.675,1.0,0.22700596800000034,3884.5974,-81.132774,0.018250601,113.09326,2417.8354,18.087433,28283.686,0.00015376996,0.19335757,-0.30986336
A10,1720.966,1.0,0.24776548400000004,4590.3965,-52.939976,0.018050825,2255.342,3081.3943,16.793049,34005.72,-0.00012869143,0.19703896,-0.28518382
A10,1725.257,1.0,0.2545917759999969,5238.763,-25.05578,0.018129649,4295.579,3745.3484,17.416086,39606.727,0.00020237557,0.16257565,-0.23303011
A10,1729.548,3.0,0.23570502000000101,5712.395,2.9501758,0.017301077,5341.2,4206.3774,17.499159,44084.88,-0.00029551217,0.08777026,-0.19334745
A10,1733.839,1.0,0.2648107999999994,6022.362,29.676188,0.016936334,5035.1646,4342.9136,16.072186,47673.496,-0.00031165918,0.00056586944,-0.15487759
A10,1738.1299999999999,1.0,0.27636517799999927,6228.089,55.838757,0.016717799,3428.478,4171.2886,13.993273,50653.543,-0.00016840461,-0.08815037,-0.10708863
A10,1742.4209999999998,3.0,0.2643172399999969,6295.489,81.66375,0.016489223,980.1939,3855.5215,12.273802,52663.94,-2.5273617e-05,-0.15357344,-0.0722565
A10,1746.712,3.0,0.2550788199999997,6178.23,107.135635,0.015980199,-1646.6111,3636.827,11.520408,51339.832,-0.00013418088,-0.17322257,-0.045739513
A10,1751.003,3.0,0.2288274759999998,5856.6055,131.82121,0.0153956115,-3610.339,3674.7844,11.924535,48227.473,-0.00019404235,-0.14870837,-0.03609528
A10,1755.2939999999999,1.0,0.2445323599999993,5430.021,104.17516,0.015318071,-4655.9604,3888.4946,13.561613,45206.62,0.0004715796,-0.08821702,-0.035895415
A10,1759.585,1.0,0.27731172800000403,4842.5674,-26.447811,0.01358139,-4655.9604,4014.654,15.288598,40736.29,-0.00032568251,-0.026441028,-0.04472971
A10,1763.876,1.0,0.24885173999999946,4150.5635,-159.75352,0.011696107,-3865.3684,3870.129,15.542673,35373.723,-0.0011143297,0.0024936881,-0.08864195
A10,1768.167,1.0,0.22570964399999974,3515.9202,-141.68587,0.010680295,-2743.2385,3441.133,14.399972,30337.783,-0.0010424858,-0.044966083,-0.12336908
A10,1772.458,1.0,0.25196622800000024,2986.226,-125.18736,0.011033328,-1697.617,2833.6687,14.003943,25822.494,-4.206784e-05,-0.19006947,-0.034737892
A10,1776.749,1.0,0.22160707999999962,2625.6472,-108.14352,0.007213123,-983.53406,2211.7905,16.256495,22522.314,-0.0039962986,-0.42265156,0.11561281
A10,1781.04,2.0,0.21723456999999924,2336.8657,-97.000984,0.012647784,-473.47482,1764.2316,21.633924,19823.402,0.00063831813,-0.9045533,0.35114184
A10,1785.331,2.0,0.271071588,2704.5999,-26.034618,0.016835226,-167.43929,1613.2281,29.50384,23203.814,0.0038332953,-0.6227357,0.21086243
A10,1789.6219999999998,2.0,0.2684674039999983,2997.9458,-102.885376,0.016010784,113.093315,1675.4379,36.06113,25813.959,0.002222623,-0.45014328,0.19512765
A10,1793.913,2.0,0.24007846400000318,3057.4648,-78.15255,0.012676418,444.6318,1790.8037,37.530987,26342.691,-0.0014876499,-0.3550385,0.18574627
A10,1798.204,2.0,0.22712214999999997,2962.8374,-58.57053,0.012405021,725.16437,1872.8485,40.944637,25487.162,-0.0016545731,-0.27406636,0.29498076
A10,1802.495,2.0,0.2682822039999998,2852.0923,-39.407753,0.01540117,1133.2117,1892.9629,42.60364,24555.271,0.001668904,-0.1882067,0.31244323
A10,1806.786,2.0,0.2587434279999978,2609.8032,-15.616645,0.013276198,1439.2472,1876.2122,42.575493,22391.994,-0.00022629958,-0.051688533,0.2734174
A10,1811.077,0.0,0.2622263519999991,2447.8179,-46.536674,0.012508725,1694.277,1871.6096,42.63922,21098.578,-0.00083754596,0.080035515,0.20729677
A10,1815.368,1.0,0.23656042800000002,2428.225,-27.213697,0.01376397,1745.2828,1909.7806,42.584137,21569.865,0.00088208675,0.060272694,0.122766666
A10,1819.6589999999999,0.0,0.2285645600000002,2329.0457,-5.9516687,0.012531048,1592.2649,1964.4979,41.124756,21645.975,0.0004380215,0.045263562,0.05425409
A10,1823.9499999999998,0.0,0.24880211599999882,2141.2031,13.405791,0.011892064,1439.2472,1985.7777,37.255524,20336.453,0.00037806242,-0.0069823945,0.04834199
A10,1828.241,1.0,0.2500391919999989,2112.5488,31.77617,0.0034583097,1592.2649,1973.362,33.54616,19621.084,-0.008175276,0.022290468,0.04281599
A10,1832.532,1.0,0.2575499320000007,2232.7937,11.404146,0.016242506,1821.7916,1950.7693,33.337574,20379.094,0.0037600244,0.10745195,0.13813785
A10,1836.8229999999999,1.0,0.2517059560000001,2452.6262,36.494915,0.015193408,1923.8036,1880.0466,35.75159,21892.252,0.0016188343,0.14602701,0.27245066
A10,1841.114,1.0,0.23647530999999616,2676.965,59.965088,0.020993229,1617.768,1733.637,36.573673,23335.207,0.0066634244,0.22101347,0.3803316
A10,1845.405,0.0,0.23930317599999879,2716.944,66.680305,0.011017425,750.6673,1575.421,34.822956,23024.104,-0.0032822727,0.26040918,0.15938306
A10,1849.696,0.0,0.24449704599999997,2736.7966,83.699585,0.011347662,-218.4452,1466.9099,35.635067,22618.154,-0.0021564113,0.15994371,0.13032821
A10,1853.987,0.0,0.2634317119999964,2752.6753,101.229,0.01226831,-1009.037,1439.2756,39.177,22211.613,-0.0004960588,0.04370829,0.20558286
A10,1858.278,3.0,0.2331378939999983,2681.518,120.18059,0.010368584,-1340.5754,1555.6691,36.67692,21518.889,-0.0023479597,-0.041405063,0.20696685
A10,1862.569,2.0,0.26515376000000107,2659.588,33.340416,0.014275094,-1315.0725,1817.0219,31.416353,21930.744,0.00085151277,-0.13141026,0.15634118
A10,1866.86,2.0,0.2675086399999999,2743.6406,55.392017,0.018353717,-1417.0844,2114.2947,30.27275,23136.379,0.0036607753,-0.23289807,0.05929906
A10,1871.1509999999998,2.0,0.3194239240000024,2754.998,83.744095,0.0124970805,-1850.6346,2349.263,32.018024,23874.404,-0.0037051507,-0.4370852,-0.04478717
A10,1875.442,2.0,0.2535595799999954,2885.787,103.04909,0.020500852,-2590.2205,2484.8062,31.922213,25621.156,0.0027282368,-0.6405818,-0.19426611
A10,1879.733,0.0,0.21729761599999975,3284.34,-70.99629,0.021005794,-2972.7651,2532.2163,28.78889,28447.438,0.0018305809,-0.47368458,-0.055531602
A10,1884.024,0.0,0.20455486,3566.416,-141.40453,0.021450987,-2564.7175,2494.656,26.307615,29757.771,0.0011458759,-0.33823368,0.003536565
A10,1888.315,0.0,0.21446219599999974,3678.4456,-108.2679,0.021201972,-1136.5519,2392.1907,27.02644,29367.393,0.0003591848,-0.19015394,0.05547299
A10,1892.606,0.0,0.208101714,3609.6423,-75.51594,0.021876084,776.1703,2291.2512,29.542994,27835.885,0.0014267449,-0.059835367,0.119302474
A10,1896.897,0.0,0.22269740799999982,3476.3647,-41.722645,0.021971622,2357.3538,2244.2683,32.920704,26022.654,0.0025481055,0.105314456,0.22902997
A10,1901.1879999999999,0.0,0.205719614,3187.9485,-7.7817616,0.010718554,2841.9102,2245.3083,39.035805,23179.09,-0.0074832886,0.32942694,0.13213237
A10,1905.4789999999998,0.0,0.21147329999999928,2857.8806,8.775834,0.018551376,2127.8274,2235.923,47.84499,20218.709,0.0016573615,0.39449686,0.06770001
A10,1909.77,0.0,0.20305877599999975,2639.4253,37.433258,0.016709698,852.67914,2156.6594,53.136932,18309.152,0.00081527664,0.30436093,-0.0075822556
A10,1914.061,0.0,0.21450956799999998,2369.741,63.24573,0.014616259,-116.4334,1999.5105,52.132088,16324.298,-0.0012395262,0.20960705,-0.049596105
A10,1918.3519999999999,0.0,0.20964157600000022,2176.3816,-17.032797,0.009119895,-269.4512,1814.6455,49.849636,15193.784,-0.0072094053,0.036843877,-0.016224692
A10,1922.643,0.0,0.2125858320000003,2127.7573,22.769535,0.024967864,189.60213,1666.4606,48.716267,15218.251,0.008429812,-0.08037468,-0.012862818
A10,1926.934,3.0,0.2688349500000011,2149.4346,9.910322,0.024801778,444.63174,1624.5686,46.088924,15416.005,0.008103599,-0.17207925,0.067850456
A10,1931.225,2.0,0.29230998399999997,2202.866,48.223114,0.0003158594,-116.433365,1760.933,41.363636,15433.608,-0.016836097,-0.32499298,0.12666686
A10,1935.516,2.0,0.2733733399999979,2565.8928,125.85389,0.022168027,-1468.0905,2031.924,38.513226,17780.654,0.0042126067,-0.3736132,0.11609459
A10,1939.8069999999998,2.0,0.2848252800000011,3129.1248,108.66961,0.022594426,-2896.256,2301.969,35.17046,22126.475,0.0034899486,-0.37262458,0.099824704
A10,1944.098,2.0,0.2687733019999998,3544.4927,-113.570274,0.022724565,-3329.8064,2449.6792,28.619532,25313.303,0.002092903,-0.20772001,0.073757544
A10,1948.3890000000001,2.0,0.25930675999999814,3772.4575,-129.89485,0.022860171,-2360.6938,2438.1138,22.762133,27073.1,0.00072256883,-0.088049516,0.047053542
A10,1952.6799999999998,1.0,0.25205195800000074,3732.9011,-94.58137,0.022770857,-320.45706,2298.5618,20.13264,26990.361,0.00024168157,-0.010344846,0.016345467
A10,1956.971,1.0,0.25690737200000335,3395.756,-59.40586,0.022899572,1617.768,2094.7336,18.827593,24842.03,0.0011432751,0.07103174,-0.03974853
A10,1961.262,1.0,0.24117656000000212,2820.074,-24.03152,0.023314347,2433.8628,1903.0583,18.770239,20865.447,0.0029558358,0.16362275,-0.076074906
A10,1965.5529999999999,0.0,0.2547676559999994,2040.9213,11.983557,0.0115110995,1898.3005,1759.2292,21.450838,15328.289,-0.007235687,0.27520582,-0.034314428
A10,1969.844,0.0,0.213908210000002,1286.5287,29.765444,0.018727893,725.16437,1619.1149,26.992823,9855.545,0.0010312458,0.51143825,-0.016238008
A10,1974.135,1.0,0.24436567200000553,1092.516,7.266973,0.010600174,62.087368,1457.2545,30.439001,8728.396,-0.0069561116,0.30049554,-0.072637595
A10,1978.426,1.0,0.2435820399999991,1288.214,-53.50116,0.024811313,215.10512,1361.1547,30.541956,10169.986,0.006673428,0.035629373,-0.16015188
A10,1982.717,1.0,0.2840040319999997,1836.5739,-40.887928,0.02133033,1158.7146,1419.5826,33.43404,14337.354,0.0025984533,-0.13224295,0.034875426
A10,1987.0079999999998,0.0,0.2651069400000027,2198.4907,-7.937682,0.018746378,1872.7975,1561.5287,39.81717,17205.186,0.00034369345,-0.1446928,0.22293203
A10,1991.299,1.0,0.24425169999999555,2355.093,21.020971,0.017133007,1974.8093,1651.8611,45.394173,18451.533,0.0002874891,-0.13333382,0.33849952
A10,1995.59,1.0,0.22933594999999962,2274.224,47.48736,0.0117101865,1439.2473,1624.2942,44.112907,17938.025,-0.0027740623,-0.114297114,0.44021624
A10,1999.8809999999999,0.0,0.23759961600000012,2093.5764,65.57678,0.009204709,776.1702,1488.4392,37.155567,16694.959,-0.0030794714,-0.10747944,0.39974323
A10,2004.172,1.0,0.2136926599999996,1981.4342,79.795845,0.007970424,266.11105,1312.55,27.453365,16015.944,-0.0031479935,-0.098247156,0.34252262
A10,2008.463,0.0,0.2158224279999983,2000.3447,92.10825,0.010545618,-14.421526,1238.3502,21.290714,16241.359,-0.0006661223,-0.14288929,0.2790656
A10,2012.754,0.0,0.23659875,2283.7063,108.3987,0.013413514,-498.97778,1398.0397,20.423334,18190.01,0.0010020031,-0.17881481,0.19653709
A10,2017.045,2.0,0.24674715999999675,2611.5867,129.11935,0.01598416,-1366.0784,1751.4723,23.370605,20383.082,0.0018046045,-0.16998403,0.10445905
A10,2021.336,2.0,0.21668320599999674,2938.1052,102.38246,0.01782075,-2386.1968,2123.1704,26.36488,22959.719,0.0019450603,-0.12486111,0.02983628
A10,2025.627,2.0,0.22648356399999692,3155.44,27.054104,0.018063944,-2972.7651,2363.5522,26.349154,24614.572,0.0009951125,-0.05798786,-0.014056853
A10,2029.9180000000001,2.0,0.2602304760000034,3325.289,-150.75572,0.018708533,-2819.7476,2410.6687,23.742868,25935.322,0.0010214498,-0.0077564376,-0.056767397
A10,2034.2089999999998,2.0,0.24074748000000218,3413.0583,-121.85552,0.017332073,-1825.1316,2320.6543,20.379293,26805.594,-0.00057137787,0.040736165,-0.103398256
A10,2038.5,2.0,0.2598714459999975,3437.3855,-95.08163,0.017530167,-345.96002,2259.7495,17.11477,27166.182,-0.0004336597,0.08898936,-0.13363369
A10,2042.791,2.0,0.27672767199999937,3601.3762,-68.00173,0.01835577,1337.2354,2376.0994,15.236107,28515.209,0.00026722692,0.14133188,-0.14353861
A10,2047.0819999999999,0.0,0.21417842799999937,3737.7065,-39.646477,0.017943894,2867.4128,2664.8118,15.940354,29447.959,-0.0004364895,0.18689264,-0.15673621
A10,2051.373,0.0,0.2260589039999989,3968.812,-11.927465,0.019369286,3811.023,2974.0054,18.015123,31000.744,0.00053991005,0.2014354,-0.16365102
A10,2055.6639999999998,1.0,0.25034244000000094,4263.548,17.993433,0.01959091,3836.5256,3137.805,17.792439,32973.91,0.0003051649,0.1968423,-0.16394846
A10,2059.955,1.0,0.2066840159999999,4528.1206,48.256687,0.020413103,2663.3892,3118.0789,14.65674,34718.227,0.0008716933,0.18589963,-0.1673287
A10,2064.246,0.0,0.2520419099999929,4778.501,79.79003,0.020340782,648.65546,3014.6028,12.267541,36490.668,0.00093381543,0.16794999,-0.18609516
A10,2068.537,0.0,0.26502438400000133,4817.606,111.211655,0.018752072,-1570.1022,2996.4792,12.136068,36869.098,2.7896629e-05,0.1488281,-0.21888743
A10,2072.828,1.0,0.2548098259999998,4738.47,140.17911,0.017498571,-3151.2856,3171.057,13.424272,36501.23,-2.3308967e-05,0.14200142,-0.25349694
A10,2077.1189999999997,2.0,0.2635228800000018,4555.0474,12.924493,0.014679379,-3890.8716,3449.746,15.98113,35417.62,-0.0014164874,0.12824723,-0.21164414
A10,2081.41,2.0,0.21837971399999984,4324.7866,-15.827977,0.012699337,-3916.3745,3623.457,20.104269,33991.535,-0.0021984072,0.085008755,-0.17230065
A10,2085.701,0.0,0.2646521279999998,4272.164,-99.06769,0.012419633,-3610.339,3547.5352,23.146261,33870.895,-0.0018776663,-0.011971303,-0.12191807
A10,2089.992,0.0,0.15881197400000338,4427.325,-131.3109,0.014630822,-2947.2622,3238.4104,21.358915,35280.82,0.00023813521,-0.11982294,-0.03023134
A10,2094.283,0.0,0.15876745200000003,4714.146,-108.70979,0.016033977,-1646.6111,2899.5066,17.912947,37748.656,0.0010565163,-0.19376387,0.080075875
A10,2098.574,0.0,0.15099562999999763,4931.277,-83.94115,0.016629135,291.614,2776.0183,15.945496,39737.625,0.0009989323,-0.22923446,0.1517223
A10,2102.865,0.0,0.1645036319999988,5038.647,-58.25312,0.017092628,2433.8628,2934.414,16.038599,41095.156,0.0011746577,-0.20190777,0.1781478
A10,2107.156,0.0,0.14697496000000237,4902.0557,-31.849112,0.015775425,4015.0464,3246.2266,17.073431,41173.44,0.00019957536,-0.17342708,0.19109699
A10,2111.447,0.0,0.14919972400000042,4525.666,-7.479866,0.014789722,4397.591,3483.2285,18.612244,39423.883,0.0002518331,-0.15891396,0.18191735
A10,2115.738,0.0,0.17078609599999817,3957.859,15.366706,0.012482732,3658.0051,3479.996,20.884722,35474.45,-0.0005870313,-0.114611454,0.15741642
A10,2120.029,0.0,0.1543769999999959,3342.2358,34.64953,0.009884993,2561.3774,3193.3926,21.352814,30482.857,-0.00190424,-0.059528317,0.15825827
A10,2124.3199999999997,0.0,0.17358618599999498,2869.5305,49.91947,0.006538556,1643.2709,2691.9924,19.02625,26050.611,-0.004737304,-0.047256537,0.049317222
